function	description	HC-DS	HC-HD	HC-HX	HC-XY
K05846	opuBD; osmoprotectant transport system permease protein	28742.15	31081.68	30544.0	27161.28
K05847	opuA; osmoprotectant transport system ATP-binding protein	14294.95	16641.34	15294.75	13764.64
K05851	cyaA; adenylate cyclase, class 1 [EC:4.6.1.1]	14875.2	16405.17	17327.0	15133.47
K05873	E4.6.1.1B, cyaB; adenylate cyclase, class 2 [EC:4.6.1.1]	2079.0	2002.0	2137.0	2252.5
K05874	tsr; methyl-accepting chemotaxis protein I, serine sensor receptor	3522.0	4041.17	4548.0	3956.01
K05875	tar; methyl-accepting chemotaxis protein II, aspartate sensor receptor	1761.0	2039.17	2229.0	1971.18
K05876	trg; methyl-accepting chemotaxis protein III, ribose and galactose sensor receptor	1761.0	2002.0	2093.0	1881.5
K05877	tap; methyl-accepting chemotaxis protein IV, peptide sensor receptor	0.0	37.17	0.0	45.67
K05878	dhaK; phosphoenolpyruvate---glycerone phosphotransferase subunit DhaK [EC:2.7.1.121]	15042.94	14412.17	15237.5	14066.98
K05879	dhaL; phosphoenolpyruvate---glycerone phosphotransferase subunit DhaL [EC:2.7.1.121]	15042.94	14412.17	15237.5	14066.98
K05880	dhaR; transcriptional activator for dhaKLM operon	13091.0	13919.17	15234.0	13098.17
K05881	dhaM; phosphoenolpyruvate---glycerone phosphotransferase subunit DhaM [EC:2.7.1.121]	13091.0	13945.17	15234.0	13098.17
K05886	sdh; serine 3-dehydrogenase (NADP+) [EC:1.1.1.276]	0.0	0.0	79.0	87.0
K05895	cobK-cbiJ; precorrin-6A/cobalt-precorrin-6A reductase [EC:1.3.1.54 1.3.1.106]	14886.03	14366.0	15363.0	13970.97
K05896	scpA; segregation and condensation protein A	2403.53	2668.0	747.75	2971.1400000000003
K05910	npr; NADH peroxidase [EC:1.11.1.1]	1.75	0.0	1.5	0.0
K05916	hmp, YHB1; nitric oxide dioxygenase [EC:1.14.12.17]	14875.2	16405.17	17931.0	17123.14
K05919	dfx; superoxide reductase [EC:1.15.1.2]	2230.91	2201.0	54.75	963.34
K05921	hpaG; 5-oxopent-3-ene-1,2,5-tricarboxylate decarboxylase / 2-hydroxyhepta-2,4-diene-1,7-dioate isomerase [EC:4.1.1.68 5.3.3.-]	26228.4	28806.34	30468.0	26598.61
K05934	E2.1.1.131, cobJ, cbiH; precorrin-3B C17-methyltransferase [EC:2.1.1.131]	15352.25	16109.0	15356.25	13546.5
K05936	cobM, cbiF; precorrin-4/cobalt-precorrin-4 C11-methyltransferase [EC:2.1.1.133 2.1.1.271]	15398.45	16567.0	15288.25	13724.3
K05939	aas; acyl-[acyl-carrier-protein]-phospholipid O-acyltransferase / long-chain-fatty-acid--[acyl-carrier-protein] ligase [EC:2.3.1.40 6.2.1.20]	14852.0	15956.17	17327.0	14955.67
K05946	tagA, tarA; N-acetylglucosaminyldiphosphoundecaprenol N-acetyl-beta-D-mannosaminyltransferase [EC:2.4.1.187]	1651.0	9.0	54.25	470.0
K05952	K05952; uncharacterized protein	14852.0	15956.17	17327.0	14955.67
K05964	citX; holo-ACP synthase [EC:2.7.7.61]	13092.75	13945.17	15279.5	13541.17
K05966	citG; triphosphoribosyl-dephospho-CoA synthase [EC:2.4.2.52]	13092.75	13945.17	15279.5	13541.17
K05967	K05967; uncharacterized protein	5.25	0.0	6.75	0.0
K05970	SIAE; sialate O-acetylesterase [EC:3.1.1.53]	612.0	2288.4	144.0	0.0
K05973	phaZ; poly(3-hydroxybutyrate) depolymerase [EC:3.1.1.75]	0.0	9.0	147.0	109.67
K05979	comB; 2-phosphosulfolactate phosphatase [EC:3.1.3.71]	417.58	0.0	50.75	665.67
K05982	E3.1.21.7, nfi; deoxyribonuclease V [EC:3.1.21.7]	14852.0	15947.17	17406.0	15042.67
K05984	cho; excinuclease Cho [EC:3.1.25.-]	13091.0	13919.17	15302.0	13122.17
K05985	rnmV; ribonuclease M5 [EC:3.1.26.8]	1651.0	0.0	62.75	470.0
K05988	dexA; dextranase [EC:3.2.1.11]	0.0	11.2	7.0	0.0
K05989	ramA; alpha-L-rhamnosidase [EC:3.2.1.40]	612.0	2250.2	48.0	0.0
K05995	pepE; dipeptidase E [EC:3.4.13.21]	10611.0	11386.17	12420.0	10680.67
K05997	sufA; Fe-S cluster assembly protein SufA	14852.0	15947.17	17327.0	14955.67
K06001	trpB; tryptophan synthase beta chain [EC:4.2.1.20]	242.0	11.2	605.5	1967.0
K06006	cpxP; periplasmic protein CpxP	14852.0	15947.17	17327.0	14955.67
K06012	gpr; spore protease [EC:3.4.24.78]	1052.58	2201.0	52.25	665.67
K06013	STE24; STE24 endopeptidase [EC:3.4.24.84]	5.25	0.0	74.75	0.0
K06015	E3.5.1.81; N-acyl-D-amino-acid deacylase [EC:3.5.1.81]	13119.45	14375.0	15240.75	13344.98
K06016	pydC; beta-ureidopropionase / N-carbamoyl-L-amino-acid hydrolase [EC:3.5.1.6 3.5.1.87]	24618.66	29784.0	27876.0	25208.52
K06019	ppaX; pyrophosphatase PpaX [EC:3.6.1.1]	5.25	0.0	50.75	419.0
K06020	E3.6.3.25; sulfate-transporting ATPase [EC:3.6.3.25]	0.0	0.0	68.0	22.67
K06023	hprK, ptsK; HPr kinase/phosphorylase [EC:2.7.11.- 2.7.4.-]	1054.33	2201.0	207.75	775.3399999999999
K06024	scpB; segregation and condensation protein B	2403.53	2668.0	747.75	2971.1400000000003
K06039	ychN; uncharacterized protein involved in oxidation of intracellular sulfur	13091.0	13945.17	15234.0	13122.17
K06041	kdsD, kpsF; arabinose-5-phosphate isomerase [EC:5.3.1.13]	16201.2	16425.37	18060.0	17261.14
K06042	cobH-cbiC; precorrin-8X/cobalt-precorrin-8 methylmutase [EC:5.4.99.61 5.4.99.60]	15469.78	16567.0	15356.25	13970.97
K06044	treY, glgY; (1->4)-alpha-D-glucan 1-alpha-D-glucosylmutase [EC:5.4.99.15]	23.2	458.0	0.0	224.47000000000003
K06048	gshA, ybdK; glutamate---cysteine ligase / carboxylate-amine ligase [EC:6.3.2.2 6.3.-.-]	13091.0	13919.17	15302.0	13144.84
K06073	ABC.VB12.P, btuC; vitamin B12 transport system permease protein	14852.0	15947.17	17327.0	14955.67
K06074	ABC.VB12.A, btuD; vitamin B12 transport system ATP-binding protein [EC:3.6.3.33]	14852.0	15947.17	17327.0	14955.67
K06075	slyA; MarR family transcriptional regulator, transcriptional regulator for hemolysin	27989.4	30780.17	32710.0	28497.44
K06076	fadL; long-chain fatty acid transport protein	14921.6	17341.37	17990.0	17543.07
K06077	slyB; outer membrane lipoprotein SlyB	14875.2	16405.17	17406.0	15243.14
K06078	lpp; murein lipoprotein	14852.0	15947.17	17406.0	15042.67
K06079	cutF, nlpE; copper homeostasis protein (lipoprotein)	14852.0	15947.17	17327.0	14955.67
K06080	rcsF; RcsF protein	14852.0	15947.17	17327.0	14955.67
K06113	abnA; arabinan endo-1,5-alpha-L-arabinosidase [EC:3.2.1.99]	0.0	13.4	48.0	0.0
K06118	SQD1, sqdB; UDP-sulfoquinovose synthase [EC:3.13.1.1]	0.0	9.0	0.0	0.0
K06120	dhaB; glycerol dehydratase large subunit [EC:4.2.1.30]	13091.0	13908.0	15234.0	13076.5
K06121	dhbC; glycerol dehydratase medium subunit [EC:4.2.1.30]	13091.0	13908.0	15234.0	13076.5
K06122	dhbE; glycerol dehydratase small subunit [EC:4.2.1.30]	13091.0	13908.0	15234.0	13076.5
K06131	clsA_B; cardiolipin synthase A/B [EC:2.7.8.-]	29461.31	32994.57	32994.5	29985.120000000003
K06132	clsC; cardiolipin synthase C [EC:2.7.8.-]	23.2	458.0	683.0	2254.4700000000003
K06133	LYS5, acpT; 4'-phosphopantetheinyl transferase [EC:2.7.8.-]	800.66	2201.0	1152.5	4561.01
K06134	COQ7; ubiquinone biosynthesis monooxygenase Coq7 [EC:1.14.13.-]	23.2	458.0	615.0	2254.4700000000003
K06135	pqqA; pyrroloquinoline quinone biosynthesis protein A	23.2	458.0	0.0	2144.8
K06136	pqqB; pyrroloquinoline quinone biosynthesis protein B	13114.2	14403.17	15770.0	15242.97
K06137	pqqC; pyrroloquinoline-quinone synthase [EC:1.3.3.11]	13114.2	14403.17	15770.0	15265.64
K06138	pqqD; pyrroloquinoline quinone biosynthesis protein D	13114.2	14403.17	15770.0	15242.97
K06139	pqqE; pyrroloquinoline quinone biosynthesis protein E	13114.2	14403.17	15770.0	15242.97
K06140	rnk; regulator of nucleoside diphosphate kinase	14898.4	16881.17	17474.0	15398.27
K06141	tsgA; MFS transporter, TsgA protein	13091.0	13945.17	15234.0	13122.17
K06142	hlpA, ompH; outer membrane protein	16201.2	16438.77	18131.0	15207.14
K06143	creD; inner membrane protein	13114.2	14388.37	15313.0	13362.97
K06144	uspB; universal stress protein B	14852.0	15947.17	17327.0	14955.67
K06145	gntR; LacI family transcriptional regulator, gluconate utilization system Gnt-I transcriptional repressor	14875.2	16414.17	17395.0	15178.81
K06147	ABCB-BAC; ATP-binding cassette, subfamily B, bacterial	25676.85	38997.57	17791.5	21838.09
K06148	ABCC-BAC; ATP-binding cassette, subfamily C, bacterial	3605.03	11463.0	81.0	843.47
K06149	uspA; universal stress protein A	26641.2	28976.68	30990.0	26858.98
K06151	E1.1.99.3A; gluconate 2-dehydrogenase alpha chain [EC:1.1.99.3]	13114.2	14412.17	15234.0	13275.97
K06152	E1.1.99.3G; gluconate 2-dehydrogenase gamma chain [EC:1.1.99.3]	13114.2	14412.17	15234.0	13298.64
K06153	bacA; undecaprenyl-diphosphatase [EC:3.6.1.27]	17299.98	19084.37	18701.25	18523.61
K06155	gntT; Gnt-I system high-affinity gluconate transporter	14852.0	15921.17	17329.0	16922.67
K06156	gntU; Gnt-I system low-affinity gluconate transporter	13185.33	13945.17	15234.0	13368.84
K06158	ABCF3; ATP-binding cassette, subfamily F, member 3	18374.19	20838.57	18120.75	18442.82
K06159	yojI; multidrug/microcin transport system ATP-binding/permease protein	13091.0	13945.17	15234.0	13122.17
K06160	pvdE; putative pyoverdin transport system ATP-binding/permease protein	23.2	458.0	0.0	177.8
K06162	phnM; alpha-D-ribose 1-methylphosphonate 5-triphosphate diphosphatase [EC:3.6.1.63]	14875.2	16414.17	17327.0	15178.81
K06163	phnJ; alpha-D-ribose 1-methylphosphonate 5-phosphate C-P lyase [EC:4.7.1.1]	14875.2	16414.17	17327.0	15156.14
K06164	phnI; alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnI [EC:2.7.8.37]	14875.2	16414.17	17327.0	15133.47
K06165	phnH; alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnH [EC:2.7.8.37]	14875.2	16414.17	17327.0	15156.14
K06166	phnG; alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnG [EC:2.7.8.37]	14875.2	16414.17	17327.0	15156.14
K06167	phnP; phosphoribosyl 1,2-cyclic phosphate phosphodiesterase [EC:3.1.4.55]	15063.86	16425.37	17375.0	15626.81
K06168	miaB; tRNA-2-methylthio-N6-dimethylallyladenosine synthase [EC:2.8.4.3]	17253.78	18626.37	18114.25	17926.809999999998
K06169	miaE; tRNA-(ms[2]io[6]A)-hydroxylase [EC:1.-.-.-]	13114.2	14403.17	15770.0	15266.97
K06173	truA, PUS1; tRNA pseudouridine38-40 synthase [EC:5.4.99.12]	18573.86	23028.37	18166.75	18592.480000000003
K06175	truC; tRNA pseudouridine65 synthase [EC:5.4.99.26]	14852.0	15947.17	17474.0	15042.67
K06176	truD, PUS7; tRNA pseudouridine13 synthase [EC:5.4.99.27]	14875.2	16405.17	17406.0	15220.47
K06177	rluA; tRNA pseudouridine32 synthase / 23S rRNA pseudouridine746 synthase [EC:5.4.99.28 5.4.99.29]	27989.4	30819.54	34465.0	34508.44
K06178	rluB; 23S rRNA pseudouridine2605 synthase [EC:5.4.99.22]	16549.2	16425.37	18201.75	17767.14
K06179	rluC; 23S rRNA pseudouridine955/2504/2580 synthase [EC:5.4.99.24]	15922.53	18615.17	18055.5	17875.809999999998
K06180	rluD; 23S rRNA pseudouridine1911/1915/1917 synthase [EC:5.4.99.23]	19130.44	18648.77	18303.5	18890.15
K06181	rluE; 23S rRNA pseudouridine2457 synthase [EC:5.4.99.20]	14875.2	16405.17	18010.0	15220.47
K06182	rluF; 23S rRNA pseudouridine2604 synthase [EC:5.4.99.21]	14138.53	16604.17	15572.0	14184.98
K06183	rsuA; 16S rRNA pseudouridine516 synthase [EC:5.4.99.19]	16334.86	18606.17	18071.5	18099.81
K06186	bamE, smpA; outer membrane protein assembly factor BamE	14875.2	16405.17	18010.0	17210.14
K06187	recR; recombination protein RecR	17255.53	18626.37	18122.75	17926.809999999998
K06188	aqpZ; aquaporin Z	13137.4	14883.57	15851.0	15531.77
K06189	corC; magnesium and cobalt transporter	14875.2	16405.17	18010.0	17210.14
K06190	ispZ; intracellular septation protein	14875.2	16414.17	17931.0	17123.14
K06191	nrdH; glutaredoxin-like protein NrdH	14852.0	15947.17	17336.0	14955.67
K06192	pqiB; paraquat-inducible protein B	14875.2	16405.17	17863.0	17123.14
K06193	phnA; protein PhnA	15094.2	16414.17	18017.0	17187.47
K06194	nlpD; lipoprotein NlpD	14875.2	16407.37	18010.0	17187.47
K06195	apaG; ApaG protein	14875.2	16414.17	17474.0	15243.14
K06196	ccdA; cytochrome c-type biogenesis protein	2185.25	2228.0	50.75	470.0
K06197	chaB; cation transport regulator	13091.0	13919.17	15234.0	13122.17
K06198	coiA; competence protein CoiA	1.75	0.0	8.5	0.0
K06199	crcB, FEX; fluoride exporter	25492.45	26317.37	28873.75	26504.14
K06200	cstA; carbon starvation protein	14534.53	14403.17	15855.0	15651.64
K06201	cutC; copper homeostasis protein	15878.08	18159.37	17499.5	15708.34
K06202	cyaY; CyaY protein	14875.2	16405.17	17395.0	15156.14
K06203	cysZ; CysZ protein	14875.2	16414.17	17327.0	15133.47
K06204	dksA; DnaK suppressor protein	14921.6	17330.17	18010.0	17565.739999999998
K06205	mioC; MioC protein	14875.2	16405.17	17327.0	15133.47
K06206	sfsA; sugar fermentation stimulation protein A	17253.78	18615.17	17381.25	15850.14
K06207	typA, bipA; GTP-binding protein	17255.53	18626.37	18122.75	17926.809999999998
K06208	aroH; chorismate mutase [EC:5.4.99.5]	1331.25	0.0	6.75	51.0
K06209	pheB; chorismate mutase [EC:5.4.99.5]	2355.58	2201.0	54.25	716.67
K06211	nadR; HTH-type transcriptional regulator, transcriptional repressor of NAD biosynthesis genes [EC:2.7.7.1 2.7.1.22]	14852.0	15947.17	17327.0	14955.67
K06212	focA; formate transporter	14852.0	15947.17	17327.0	14955.67
K06213	mgtE; magnesium transporter	28182.53	30353.54	32764.5	29117.98
K06214	csgG; curli production assembly/transport component CsgG	0.0	0.0	0.0	24.0
K06215	pdxS, pdx1; pyridoxal 5'-phosphate synthase pdxS subunit [EC:4.3.3.6]	328.5	0.0	107.5	419.0
K06217	phoH, phoL; phosphate starvation-inducible protein PhoH and related proteins	31789.53	34573.54	35405.75	32463.48
K06218	relE, stbE; mRNA interferase RelE/StbE	13096.25	13945.17	15240.75	13098.17
K06219	smtA; S-adenosylmethionine-dependent methyltransferase	14875.2	16405.17	17327.0	15133.47
K06221	dkgA; 2,5-diketo-D-gluconate reductase A [EC:1.1.1.346]	14852.0	15947.17	17327.0	14978.34
K06222	dkgB; 2,5-diketo-D-gluconate reductase B [EC:1.1.1.346]	14875.2	16405.17	18010.0	17210.14
K06223	dam; DNA adenine methylase [EC:2.1.1.72]	29487.63	31678.17	33589.0	30690.29
K06281	hyaB, hybC; hydrogenase large subunit [EC:1.12.99.6]	1341.75	0.0	64.25	470.0
K06282	hyaA, hybO; hydrogenase small subunit [EC:1.12.99.6]	1341.75	0.0	64.25	470.0
K06283	spoIIID; putative DeoR family transcriptional regulator, stage III sporulation protein D	1664.58	4402.0	52.25	665.67
K06284	abrB; transcriptional pleiotropic regulator of transition state genes	1246.49	2201.0	103.0	1578.01
K06286	ezrA; septation ring formation regulator	1.75	0.0	8.5	0.0
K06287	maf; septum formation protein	17253.78	18635.37	18261.25	18013.809999999998
K06295	gerKA; spore germination protein KA	15.75	0.0	21.75	0.0
K06296	gerKB; spore germination protein KB	10.5	0.0	13.5	0.0
K06297	gerKC; spore germination protein KC	15.75	0.0	20.25	0.0
K06298	gerM; germination protein M	706.33	2201.0	0.0	246.67
K06306	yaaH; spore germination protein	4505.58	15407.0	6.75	246.67
K06307	yfkQ; spore germination protein	219.0	0.0	0.0	0.0
K06310	yndD; spore germination protein	711.0	2201.0	44.0	419.0
K06313	ypeB; spore germination protein	5.25	0.0	6.75	0.0
K06317	bofA; inhibitor of the pro-sigma K processing machinery	2261.25	2201.0	52.75	470.0
K06320	cgeB; spore maturation protein CgeB	612.0	2201.0	0.0	0.0
K06327	cotD; spore coat protein D	5.25	0.0	6.75	0.0
K06330	cotH; spore coat protein H	0.0	0.0	2.0	0.0
K06331	cotI; spore coat protein I	99.0	0.0	0.0	0.0
K06333	cotJB; spore coat protein JB	1753.66	4402.0	45.5	912.34
K06334	cotJC; spore coat protein JC	1764.16	4402.0	59.0	912.34
K06346	jag; spoIIIJ-associated protein	2378.58	2201.0	63.25	716.67
K06373	spmA; spore maturation protein A	1146.91	2201.0	52.25	912.34
K06374	spmB; spore maturation protein B	1052.58	2201.0	52.25	665.67
K06378	spoIIAA; stage II sporulation protein AA (anti-sigma F factor antagonist)	1052.58	2201.0	52.25	688.3399999999999
K06379	spoIIAB; stage II sporulation protein AB (anti-sigma F factor) [EC:2.7.11.1]	1052.58	2201.0	52.25	665.67
K06381	spoIID; stage II sporulation protein D	2478.16	2201.0	62.5	963.34
K06382	spoIIE; stage II sporulation protein E [EC:3.1.3.16]	1052.58	2201.0	52.25	665.67
K06383	spoIIGA; stage II sporulation protein GA (sporulation sigma-E factor processing peptidase) [EC:3.4.23.-]	1052.58	2201.0	52.25	665.67
K06384	spoIIM; stage II sporulation protein M	1052.58	2201.0	52.25	665.67
K06385	spoIIP; stage II sporulation protein P	1052.58	2201.0	52.25	665.67
K06387	spoIIR; stage II sporulation protein R	1052.58	2201.0	52.25	665.67
K06390	spoIIIAA; stage III sporulation protein AA	1052.58	2201.0	52.25	665.67
K06391	spoIIIAB; stage III sporulation protein AB	1029.58	2201.0	52.25	665.67
K06392	spoIIIAC; stage III sporulation protein AC	1052.58	2201.0	52.25	665.67
K06393	spoIIIAD; stage III sporulation protein AD	1052.58	2201.0	52.25	665.67
K06394	spoIIIAE; stage III sporulation protein AE	1052.58	2201.0	52.25	665.67
K06395	spoIIIAF; stage III sporulation protein AF	1052.58	2201.0	50.75	665.67
K06396	spoIIIAG; stage III sporulation protein AG	1052.58	2201.0	52.25	665.67
K06397	spoIIIAH; stage III sporulation protein AH	1052.58	2201.0	52.25	665.67
K06398	spoIVA; stage IV sporulation protein A	1052.58	2201.0	52.25	665.67
K06399	spoIVB; stage IV sporulation protein B [EC:3.4.21.116]	1052.58	2201.0	52.25	665.67
K06400	spoIVCA; site-specific DNA recombinase	1039.99	2201.0	45.5	1159.01
K06402	spoIVFB; stage IV sporulation protein FB [EC:3.4.24.-]	346.25	0.0	50.75	419.0
K06403	spoVAA; stage V sporulation protein AA	706.33	2201.0	0.0	246.67
K06404	spoVAB; stage V sporulation protein AB	706.33	2201.0	0.0	246.67
K06405	spoVAC; stage V sporulation protein AC	1057.83	2201.0	59.0	665.67
K06406	spoVAD; stage V sporulation protein AD	1057.83	2201.0	59.0	665.67
K06407	spoVAE; stage V sporulation protein AE	1057.83	2201.0	59.0	665.67
K06408	spoVAF; stage V sporulation protein AF	318.58	0.0	6.75	246.67
K06409	spoVB; stage V sporulation protein B	3743.91	4402.0	145.75	1801.34
K06410	spoVFA; dipicolinate synthase subunit A	734.58	2201.0	8.25	246.67
K06411	spoVFB; dipicolinate synthase subunit B	734.58	2201.0	8.25	246.67
K06412	spoVG; stage V sporulation protein G	1241.24	2201.0	52.25	1159.01
K06413	spoVK; stage V sporulation protein K	5.25	0.0	6.75	0.0
K06415	spoVR; stage V sporulation protein R	323.25	0.0	50.75	441.67
K06416	spoVS; stage V sporulation protein S	346.25	0.0	96.25	838.0
K06423	sspF; small acid-soluble spore protein F (minor alpha/beta-type SASP)	5.25	0.0	6.75	0.0
K06434	tlp; small acid-soluble spore protein (thioredoxin-like protein)	5.25	0.0	6.75	0.0
K06436	yabG; spore coat assemly protein	323.25	0.0	50.75	419.0
K06438	yqfD; similar to stage IV sporulation protein	1052.58	2201.0	52.25	665.67
K06442	tlyA; 23S rRNA (cytidine1920-2'-O)/16S rRNA (cytidine1409-2'-O)-methyltransferase [EC:2.1.1.226 2.1.1.227]	2380.33	2210.0	132.75	716.67
K06445	fadE; acyl-CoA dehydrogenase [EC:1.3.99.-]	14898.4	16863.17	17942.0	17410.61
K06446	DCAA; acyl-CoA dehydrogenase [EC:1.3.99.-]	28.45	458.0	1078.75	4111.8
K06447	astD; succinylglutamic semialdehyde dehydrogenase [EC:1.2.1.71]	27966.2	30313.17	33097.0	30176.97
K06518	cidA; holin-like protein	28995.78	32571.54	33272.25	30910.98
K06595	hemAT; heam-based aerotactic trancducer	5.25	0.0	6.75	0.0
K06596	chpA; chemosensory pili system protein ChpA (sensor histidine kinase/response regulator)	23.2	458.0	683.0	2231.8
K06597	chpB; chemosensory pili system protein ChpB (putative protein-glutamate methylesterase)	0.0	0.0	79.0	87.0
K06598	chpC; chemosensory pili system protein ChpC	23.2	458.0	79.0	264.8
K06599	chpD; AraC family transcriptional regulator, chemosensory pili system protein ChpD	23.2	458.0	0.0	177.8
K06600	chpE; chemosensory pili system protein ChpE	23.2	458.0	0.0	177.8
K06601	flbT; flagellar protein FlbT	0.0	9.0	0.0	0.0
K06602	flaF; flagellar protein FlaF	0.0	9.0	0.0	0.0
K06603	flaG; flagellar protein FlaG	2289.7	2659.0	57.5	670.47
K06605	iolH; myo-inositol catabolism protein IolH	13114.2	14403.17	15234.0	13275.97
K06606	iolI; 2-keto-myo-inositol isomerase [EC:5.3.99.11]	13114.2	14403.17	15234.0	13275.97
K06608	iolR; DeoR family transcriptional regulator, myo-inositol catabolism operon repressor	318.0	0.0	0.0	0.0
K06714	rocR; arginine utilization regulatory protein	10.5	0.0	13.5	0.0
K06718	ectA; L-2,4-diaminobutyric acid acetyltransferase [EC:2.3.1.178]	0.0	9.0	0.0	0.0
K06720	ectC; L-ectoine synthase [EC:4.2.1.108]	23.2	467.0	0.0	200.47000000000003
K06726	rbsD; D-ribose pyranase [EC:5.4.99.62]	16615.86	16405.17	17335.25	15677.81
K06857	tupC, vupC; tungstate transport system ATP-binding protein [EC:3.6.3.55]	5.25	0.0	6.75	0.0
K06858	ABC.VB12.S1, btuF; vitamin B12 transport system substrate-binding protein	14875.2	16405.17	17327.0	15133.47
K06861	lptB; lipopolysaccharide export system ATP-binding protein [EC:3.6.3.-]	16201.2	16425.37	18060.0	17261.14
K06864	larE; pyridinium-3,5-biscarboxylic acid mononucleotide sulfurtransferase	2060.58	2201.0	52.75	716.67
K06866	grcA; autonomous glycyl radical cofactor	14852.0	15947.17	17327.0	14955.67
K06867	K06867; uncharacterized protein	46.4	962.17	294.0	2587.61
K06871	K06871; uncharacterized protein	44494.490000000005	48401.37	45865.5	40931.17999999999
K06872	K06872; uncharacterized protein	2297.73	3148.4	808.0	3213.27
K06876	K06876; deoxyribodipyrimidine photolyase-related protein	23.2	458.0	604.0	201.8
K06877	K06877; DEAD/DEAH box helicase domain-containing protein	0.0	0.0	79.0	87.0
K06878	K06878; tRNA-binding protein	1.75	9.0	612.5	1989.67
K06879	queF; 7-cyano-7-deazaguanine reductase [EC:1.7.1.13]	14875.2	16405.17	18010.0	17210.14
K06881	nrnA; bifunctional oligoribonuclease and PAP phosphatase NrnA [EC:3.1.3.7 3.1.13.3]	2380.33	2212.2	110.75	716.67
K06884	K06884; uncharacterized protein	13114.2	14366.0	15234.0	13302.3
K06885	K06885; uncharacterized protein	13092.75	13928.2	15235.5	13076.5
K06886	glbN; hemoglobin	0.0	0.0	147.0	109.67
K06887	K06887; uncharacterized protein	3522.0	4004.0	4186.0	3667.0
K06888	K06888; uncharacterized protein	1057.83	2210.0	57.5	665.67
K06889	K06889; uncharacterized protein	38697.62	37969.14	39523.0	42738.56
K06890	K06890; uncharacterized protein	14948.08	15956.17	17385.5	15202.34
K06891	clpS; ATP-dependent Clp protease adaptor protein ClpS	14875.2	16414.17	18010.0	17210.14
K06894	K06894; uncharacterized protein	13114.2	14397.37	15381.0	13409.64
K06895	lysE, argO; L-lysine exporter family protein LysE/ArgO	14875.2	16414.17	18093.0	17297.14
K06896	mapP; maltose 6'-phosphate phosphatase [EC:3.1.3.90]	313.33	0.0	7.0	246.67
K06897	K06897; 7,8-dihydropterin-6-yl-methyl-4-(beta-D-ribofuranosyl)aminobenzene 5'-phosphate synthase [EC:2.5.1.105]	511.91	11.2	52.25	912.34
K06898	larB; pyridinium-3,5-biscarboxylic acid mononucleotide synthase [EC:2.5.1.143]	2065.83	2201.0	59.5	716.67
K06899	ndpA; nucleoid-associated protein	14875.2	16405.17	17327.0	15133.47
K06901	pbuG; putative MFS transporter, AGZA family, xanthine/uracil permease	49927.14	48919.34	50784.25	47732.12
K06902	UMF1; MFS transporter, UMF1 family	612.0	2210.0	2.0	22.67
K06903	K06903; uncharacterized protein	5085.2	5936.17	5970.5	5272.97
K06904	K06904; uncharacterized protein	2480.0	2579.2	2864.0	2417.5
K06905	K06905; uncharacterized protein	3324.2	3934.17	3877.5	3439.4700000000003
K06906	K06906; uncharacterized protein	3324.2	3934.17	3945.5	3439.4700000000003
K06907	K06907; uncharacterized protein	5085.2	5936.17	5970.5	5272.97
K06908	K06908; uncharacterized protein	3324.2	3934.17	3877.5	3439.4700000000003
K06909	xtmB; phage terminase large subunit	2480.0	2568.0	2864.0	2417.5
K06910	K06910; uncharacterized protein	26322.53	28320.17	30617.0	26756.81
K06911	K06911; uncharacterized protein	43765.0	50361.91	53121.0	54550.86
K06915	K06915; uncharacterized protein	13137.4	14888.17	15917.0	15554.44
K06916	zapE; cell division protein ZapE	28012.6	31238.17	33244.0	30642.24
K06917	selU; tRNA 2-selenouridine synthase [EC:2.9.1.-]	13119.45	14403.17	15352.75	13718.97
K06918	K06918; uncharacterized protein	14852.0	15956.17	17327.0	14955.67
K06919	K06919; putative DNA primase/helicase	21884.08	23222.85	25361.0	21948.02
K06920	queC; 7-cyano-7-deazaguanine synthase [EC:6.3.4.20]	16547.65	16883.37	18075.25	17438.940000000002
K06921	K06921; uncharacterized protein	94.33	40.2	3.5	246.67
K06923	K06923; uncharacterized protein	2182.78	2668.0	614.25	6399.14
K06925	tsaE; tRNA threonylcarbamoyladenosine biosynthesis protein TsaE	17255.53	18617.37	18122.75	17904.14
K06926	K06926; uncharacterized protein	94.33	11.2	51.5	246.67
K06929	K06929; uncharacterized protein	14862.5	15956.17	17347.5	14955.67
K06934	K06934; uncharacterized protein	94.33	0.0	2.0	246.67
K06937	K06937; 7,8-dihydro-6-hydroxymethylpterin dimethyltransferase [EC:2.1.1.-]	5.25	0.0	6.75	0.0
K06938	K06938; uncharacterized protein	14921.6	17330.17	17931.0	17478.739999999998
K06940	K06940; uncharacterized protein	16339.51	21760.34	18161.25	18103.42
K06941	rlmN; 23S rRNA (adenine2503-C2)-methyltransferase [EC:2.1.1.192]	17353.36	18626.37	18128.0	18173.480000000003
K06942	ychF; ribosome-binding ATPase	17255.53	18626.37	18122.75	17926.809999999998
K06945	K06945; uncharacterized protein	0.0	0.0	615.0	87.0
K06946	K06946; uncharacterized protein	0.0	0.0	0.0	24.0
K06948	yqeH; 30S ribosome assembly GTPase	1.75	0.0	8.5	0.0
